"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"82","Devon Levi","BUF","9","391.71666666667","196","172","24","0.878","3.68","-6.72","17.21","46","34","12","0.739","1.84","-3.70","57","49","8","0.860","1.23","-1.43","78","74","4","0.949","0.61","-1.43","20","42","38.09","22.33"
"65","Jakub Skarek","NYI","2","65.45","31","27","4","0.871","3.67","-1.27","2.95","9","5","4","0.556","3.67","-2.38","8","8","0","1.000","0.00","0.92","14","14","0","1.000","0.00","0.46","1","9","31.94","11.50"
"76","Arturs Silovs","VAN","9","386.33333333333","178","155","23","0.871","3.57","-7.31","15.47","46","38","8","0.826","1.24","0.30","40","28","12","0.700","1.86","-7.39","84","81","3","0.964","0.47","-0.23","13","32","36.13","20.65"
"93","Dennis Hildeby","TOR","6","294.11666666667","122","106","16","0.869","3.26","-5.25","12.68","25","18","7","0.720","1.43","-2.49","37","29","8","0.784","1.63","-3.73","52","51","1","0.981","0.20","0.72","8","28","36.85","22.19"
"13","Philipp Grubauer","SEA","21","978.98333333333","463","401","62","0.866","3.80","-21.19","42.01","109","84","25","0.771","1.53","-5.34","128","106","22","0.828","1.35","-7.24","210","195","15","0.929","0.92","-8.07","34","82","34.97","21.21"
"30","Spencer Martin","CAR","9","322.96666666667","134","115","19","0.858","3.53","-7.19","13.44","39","30","9","0.769","1.67","-1.97","32","27","5","0.844","0.93","-1.31","56","51","5","0.911","0.93","-3.15","12","18","33.25","21.63"
"86","Sebastian Cossa","DET","1","30.983333333333","12","10","2","0.833","3.87","-0.94","1.26","5","3","2","0.600","3.87","-1.10","2","2","0","1.000","0.00","0.23","5","5","0","1.000","0.00","0.16","0","3","29.83","8.50"
"60","Cayden Primeau","MTL","11","402.38333333333","187","154","33","0.824","4.92","-16.52","20.84","57","44","13","0.772","1.94","-2.72","64","50","14","0.781","2.09","-6.62","58","52","6","0.897","0.89","-4.09","24","38","32.02","20.42"
"74","Mads Sogaard","OTT","2","70.316666666667","31","25","6","0.806","5.12","-3.27","3.54","9","7","2","0.778","1.71","-0.38","8","4","4","0.500","3.41","-3.08","13","13","0","1.000","0.00","0.43","3","8","33.61","20.50"
"80","Drew Commesso","CHI","2","57.35","19","15","4","0.789","4.18","-2.33","2.63","4","1","3","0.250","3.14","-2.28","6","5","1","0.833","1.05","-0.31","6","6","0","1.000","0.00","0.20","5","7","43.11","14.50"
"39","Kaapo Kahkonen","COL","1","42.65","17","13","4","0.765","5.63","-2.50","2.02","4","2","2","0.500","2.81","-1.28","3","1","2","0.333","2.81","-1.65","7","7","0","1.000","0.00","0.23","4","4","49.82","17.25"
"92","Nikke Kokko","SEA","1","25.95","5","3","2","0.600","4.62","-1.56","0.4","1","0","1","0.000","2.31","-0.82","3","2","1","0.667","2.31","-0.65","1","1","0","1.000","0.00","0.03","0","0","32.40","16.00"
